Název hry,Bet,% Win/Bet,Počet spinů
Great Rhino Megaways,1011176,92.289611,55184
Pinky Cat,523070,92.183647,14063
81 Hot Seven Twins,577880,92.125009,38042
Sweet Crush,162518,92.003963,6962
27 Simply Ways,214312,91.917391,12625
Respin Santa,290841,91.914139,17225
Fruit Joker,852120,91.692485,17477
Turbo Slots 27,102458,91.641453,4096
Occultum 81,155890,91.63192,2078
Dice Rush,127160,91.487889,10955
Four Fruits II,245845,91.260754,11208
Slot Birds,1847910,91.181659,30244
Congo Cash,458216,91.16923,18847
Criss Cross,742620,91.116587,45250
Fire Witch,254761,91.065351,10925
Maxi 5,7844615,90.730265,126072
Puppet Show,248073,90.728536,14370
Madame Destiny Megaways,723934,90.659093,34527
Kajot Lines Street,346140,90.64887,26449
5 Dragon hearts,875200,90.354959,30769
Diamond Respin,165540,90.256131,6941
Legends Of The Colosseum,146013,90.255594,9419
Cash Tank,126150.9,90.199991,21429
243 Space Fruits,175468,90.160884,12271
Tiki Princess,443735,89.856164,68064
Book of Vampires,130438,89.563777,6851
Bison vs Buffalo,392525,89.511623,24373
Lucky Dice 2,104694.75,89.210061,34549
Dolphin's Wild Ride,106756,89.209506,8189
Big Show,1914955,89.193219,76097
Egg Hunter,394135.5,89.05275,11587
Joker 27,1895460,89.043293,25221
Shuriken Legend,289990,89.02238,26235
Fruit Bomb,951195,88.978075,33698
Heat Reels 100+++,137238,88.883983,11454
Bonus Joker 81,285185,88.635447,9540
Book of Kingdoms,118470.5,88.591168,3290
Fruit Joker II,3246370,88.523489,71618
Super Joker 40,1296728,88.511916,75927
Black Pearl,483428,88.332078,23071
Golden Scatter,132530,88.240398,4180
Sparkling Fresh,156859,88.175686,60116
Wild Flame Sevens,365435,88.16479,9515
Casino Lucha Libre,403140,88.138116,10621
4 Stones,594905,88.101462,13788
243 Diamonds,424849,87.809551,13900
Golden Seven,382919,87.535118,23333
Treasures of Asgard,4128415,87.486239,122214
Triple Wild 7,393460,87.429472,13475
Mirror Shield,299785,87.393799,17806
81 Space Fruits,145265,87.392696,8997
Fruit Party,140026,87.372988,9658
Fenomen 81,239810,87.307452,22271
Black Friday,115343,87.174774,3952
Smiling Joker,539895,86.927088,17344
Smiling Joker II,116305,86.68157,5605
Mountain Legends,366915,86.669937,13124
PengWins,106656,86.247375,3479
Buffalo 50,520945,86.042807,46819
More Fresh Fruits,115248,85.499792,23124
Multi Vegas 81 Exclusive,732154,85.327814,69682
Čert a Káča,237915,85.273732,6324
20 Star Party,106295,85.203914,2415
Lucky Fu,258710,85.17452,8284
Sunset Hotline,145244,84.720883,17980
Vegas 27 Multiplier,126382,84.570588,3560
Book Of Secrets Extra,117560,84.460276,11820
Joker Plus II Street,843946,84.283355,37728
Kings Fruit,298848,84.197318,13602
81 Joker Fruits,548708,84.087529,30231
9 Stars,132432,84.047662,10712
Bonus Road,411327,84.047485,18352
Phoenix Forge,127080,83.775496,9299
Vikings,352505,83.573283,11876
7 Bonus Up,128425.5,83.534812,36016
Respin Queen 81,176161,83.462287,14948
Chilli Tumble,239827.5,83.283256,21477
Rocket Respin,112920,82.786929,5195
Forest Fruit,280244,82.583748,16104
Golden Myth,278036,82.316678,8749
Crown 81,223232,82.228354,15176
Dragons of Fortune,206620,82.155164,9750
Turbo 27,263292,82.120232,12913
Mystery Apollo 243,320690,81.773364,9181
Joker 5,130556,81.433255,8233
Bača,713789,81.119911,40759
Sweet Dream,209123,81.107673,19495
Oldskool Spin 27,157076,80.416486,7834
Circus Circus 81,158361,80.128314,5201
Rich Kittens,298550,80.073689,11575
Flip the Chip,174463,79.115916,14061
Joker 81,220856,79.075506,17360
Blood Revival,335570,78.24597,20605
100 Wild Fruits,110840,77.529773,2696
Inferno,105520,76.601592,4380
Rot Stormo,260455,75.740877,12821
Multi Diamonds 81,180211,75.514258,5087
Mad Mechanic Deluxe,532555,75.328933,4895
Harlequin Dice,302758,74.853183,16976
Hell Fruits,114048,73.448899,9172
Gems Bonanza,275776,73.037356,23121
Multi Golden Scarabs,116380,72.899983,11243
Book of Secrets,330874,72.694893,23044
Bonus Jack,227405,72.298322,8975
Gangster World,103850,70.987,5352
TurboKick,104740,67.261791,2659
Book of Cleo,140390,66.409288,3276
Hunter Totem,134494,65.350871,1939
